@id,@lon,@lat,name,name:mk,opening_hours,drive_through,building,email,phone,website,wheelchair
309867277,21.4028441,42.0067942,,,,,,,,,
309867278,21.4023654,42.0048272,,,,,,,,,
309867279,21.4048626,42.0047728,,,,,,,,,
309867280,21.4044405,42.0061960,,,,,,,,,
358090036,21.4133865,41.9908051,,,,,,,,,
365291273,21.4340322,41.9924014,,,,,,,,,
365291274,21.4348186,41.9927473,,,,,,,,,
365291275,21.4347197,41.9928715,,,,,,,,,
365291276,21.4345446,41.9927945,,,,,,,,,
365291277,21.4344092,41.9929647,,,,,,,,,
365291279,21.4337978,41.9926958,,,,,,,,,
367836127,21.4177236,41.9879733,,,,,,,,,
367836128,21.4179185,41.9882227,,,,,,,,,
367836129,21.4212630,41.9907344,,,,,,,,,
367836130,21.4216092,41.9905753,,,,,,,,,
367836131,21.4218409,41.9904556,,,,,,,,,
367836132,21.4234288,41.9897857,,,,,,,,,
367836133,21.4240304,41.9906489,,,,,,,,,
367836135,21.4255610,41.9899845,,,,,,,,,
367836137,21.4248021,41.9890967,,,,,,,,,
367836139,21.4268405,41.9879356,,,,,,,,,
367836141,21.4263971,41.9866173,,,,,,,,,
367836145,21.4207616,41.9871742,,,,,,,,,
391826997,21.4572203,41.9854975,,,,,,,,,
391827000,21.4567593,41.9849350,,,,,,,,,
391827001,21.4573733,41.9846470,,,,,,,,,
391827002,21.4578328,41.9852078,,,,,,,,,
418782887,21.4568930,41.9848745,,,,,,,,,
418782888,21.4572467,41.9847043,,,,,,,,,
418782889,21.4576935,41.9852709,,,,,,,,,
418782890,21.4573996,41.9849121,,,,,,,,,
418782891,21.4570670,41.9850680,,,,,,,,,
418782892,21.4573652,41.9854319,,,,,,,,,
418783009,21.4569524,41.9849469,,,,,,,,,
418783011,21.4573121,41.9847841,,,,,,,,,
418783927,21.4573014,41.9849566,,,,,,,,,
418783928,21.4573988,41.9850755,,,,,,,,,
418783929,21.4572438,41.9851457,,,,,,,,,
418783930,21.4571495,41.9850306,,,,,,,,,
446285590,21.4050218,41.9902796,,,,,,,,,
446285591,21.4055466,41.9905371,,,,,,,,,
446285593,21.4055587,41.9902399,,,,,,,,,
446285594,21.4052341,41.9902326,,,,,,,,,
446285601,21.4055430,41.9900084,,,,,,,,,
446285606,21.4055306,41.9899172,,,,,,,,,
446285618,21.4055363,41.9897770,,,,,,,,,
446285627,21.4052000,41.9896351,,,,,,,,,
446285630,21.4049724,41.9896299,,,,,,,,,
446285638,21.4049651,41.9898096,,,,,,,,,
446285641,21.4051305,41.9898134,,,,,,,,,
446285649,21.4051283,41.9898664,,,,,,,,,
446285652,21.4048261,41.9898596,,,,,,,,,
446285655,21.4048203,41.9900028,,,,,,,,,
446285656,21.4051311,41.9900098,,,,,,,,,
446285659,21.4048214,41.9901004,,,,,,,,,
446285661,21.4048158,41.9902374,,,,,,,,,
446285667,21.4050641,41.9902430,,,,,,,,,
446285669,21.4050626,41.9902805,,,,,,,,,
447906076,21.4048382,41.9948425,,,,,,,,,
447906078,21.4050819,41.9948123,,,,,,,,,
447906079,21.4051134,41.9949525,,,,,,,,,
447906081,21.4048697,41.9949827,,,,,,,,,
1359271238,21.4235159,41.9955891,,,,,,,,,
1381606894,21.4346369,41.9869370,Адриалаб,,,,,,,,
1652685364,21.4348208,41.9869077,,,,,,,,,
1652685365,21.4347725,41.9869818,,,,,,,,,
1652685367,21.4349449,41.9869525,,,,,,,,,
1652685372,21.4348966,41.9870266,,,,,,,,,
1747627317,21.4331367,41.9860650,,,,,,,,,
1758468903,21.4235348,41.9957907,,,,,,,,,
1758468912,21.4233852,41.9955735,,,,,,,,,
1758468916,21.4235053,41.9956381,,,,,,,,,
1758468941,21.4233489,41.9957420,,,,,,,,,
1860925725,21.4203236,41.9952927,,,,,,,,,
1860925726,21.4207468,41.9952224,,,,,,,,,
1860925728,21.4203467,41.9951778,,,,,,,,,
1860925731,21.4203734,41.9950443,,,,,,,,,
1860925748,21.4209140,41.9951046,,,,,,,,,
1860925750,21.4201545,41.9952739,,,,,,,,,
1860925752,21.4209021,41.9951633,,,,,,,,,
1860925758,21.4202046,41.9950255,,,,,,,,,
1860925759,21.4207618,41.9951477,,,,,,,,,
1867268154,21.4147691,41.9913922,,,,,,,,,
1867268159,21.4135793,41.9921522,,,,,,,,,
1867268181,21.4121980,41.9917396,,,,,,,,,
1867268183,21.4143907,41.9906414,,,,,,,,,
1867272078,21.4128116,41.9923807,,,,,,,,,
1867272083,21.4134556,41.9922255,,,,,,,,,
1868812091,21.4052017,42.0060925,,,,,,,,,
