@id,@lon,@lat,name,name:mk
370651330,21.4273351,41.9918820,,
444938513,21.4262009,42.0009645,,
444938811,21.4226797,41.9984708,Зегин,
459669736,21.4332098,41.9950445,,
459673288,21.4154083,41.9932326,Зегин,
498850840,21.4373274,41.9972254,Зегин,
1145898401,21.4361069,41.9886596,,
1361157236,21.4361820,41.9885320,,
1361157237,21.4353934,41.9884562,,
1361157238,21.4354578,41.9883366,,
1382090803,21.4295599,41.9835895,Apteka Biofit,
1652699470,21.4219509,41.9919776,Уни Медикал,
1747986303,21.4308199,41.9869002,Зегин,
1748378521,21.4198668,41.9988465,,
1867138500,21.4259438,42.0012381,,
1867138531,21.4262899,42.0010897,,
1867138554,21.4258850,42.0011698,,
2294320035,21.4078311,41.9960357,Зегин,
2362912161,21.4053418,42.0026568,Аптека Ремедиум Лек,
2601311980,21.4078707,42.0032478,Betty,
3099334941,21.4460324,41.9910923,Zegin,
3104012020,21.4311375,41.9943079,Eуpoфapм,
3832362529,21.4198380,41.9899658,Виола,
3832368052,21.4196296,41.9898127,Betty,
4266034098,21.4377527,41.9850045,Зегин,
4375519189,21.4341995,41.9928765,Зегин ( стара градска болница),Зегин ( стара градска болница)
4614661190,21.4085080,41.9969243,Опоум,Опоум
4846704246,21.4276434,41.9958705,Виола,
4846704247,21.4273767,41.9954508,Зегин,
4938094324,21.4376415,41.9916808,,
4990134422,21.4394269,42.0024902,Зегин,Зегин
6054020289,21.4250953,41.9950329,,
6054032909,21.4362670,41.9890157,,
6054035529,21.4328978,41.9874105,,
6054035531,21.4269070,41.9938132,,
6054048689,21.4154009,41.9985752,,
6054048697,21.4155218,42.0037486,,
6054048719,21.4284040,41.9970967,,
6054048888,21.4403185,41.9964634,Аптека,
6054049800,21.4132362,42.0002111,,
6054050088,21.4266118,41.9995676,,
6054050093,21.4224854,41.9985010,Zegin,
6054050097,21.4152598,42.0004895,Betty,
6054050785,21.4231640,41.9952217,,
6279836416,21.4259201,41.9907383,Аптека,
6348159698,21.4262044,42.0011303,,
6348159699,21.4261945,42.0011188,,
6348159700,21.4258613,42.0011260,,
6348159701,21.4258950,42.0011651,,
6348159702,21.4262667,42.0010409,,
6348159703,21.4262533,42.0010473,,
6814246729,21.4245363,41.9949134,Zegin,
6815918388,21.4226605,41.9982536,Betty,
6815931685,21.4182168,42.0027911,,
6820837785,21.4359152,41.9936185,,
6827074009,21.4407832,42.0028076,,
8188519794,21.4265268,41.9968203,Еурофарм,
8494240822,21.4114399,42.0026365,Зегин - Моја Аптека,
8745676373,21.4288200,41.9933214,Еурофарм,
9200216055,21.4397417,42.0038380,,
9200216066,21.4359938,41.9896172,Eurofarm,
9200216070,21.4367247,41.9873730,,
9200216344,21.4202929,41.9948670,,
9200216435,21.4379217,41.9995923,,
9200216440,21.4284796,41.9922394,Zegin,
9200216545,21.4153737,42.0035535,,
9200216556,21.4152038,42.0005157,Betty,
1000000121652407,21.4357877,41.9884981,Билна Аптека,
1000000176158374,21.4260755,42.0011013,Дисконт,
